,Title,Word,n,nwords
467,Моби Дик,компании,2,4887
468,Моби Дик,большие,2,4887
469,Моби Дик,маленькие,3,4887
470,Моби Дик,пестрые,1,4887
471,Моби Дик,отряды,1,4887
472,Моби Дик,скалолазов,1,4887
473,Моби Дик,обмотанных,1,4887
474,Моби Дик,вокруг,3,4887
475,Моби Дик,тридцатиметровыми,1,4887
476,Моби Дик,шарфами,1,4887
477,Моби Дик,карабкались,1,4887
478,Моби Дик,обледенелым,1,4887
479,Моби Дик,кручам,1,4887
480,Моби Дик,куда,6,4887
481,Моби Дик,впрочем,2,4887
482,Моби Дик,при,9,4887
483,Моби Дик,желании,1,4887
484,Моби Дик,спокойно,2,4887
485,Моби Дик,подняться,1,4887
486,Моби Дик,тропинкам,1,4887
487,Моби Дик,другой,1,4887
488,Моби Дик,стороны,2,4887
489,Моби Дик,аквалангисты,1,4887
490,Моби Дик,набивались,1,4887
491,Моби Дик,субмарины,6,4887
492,Моби Дик,переправлялись,1,4887
493,Моби Дик,через,4,4887
494,Моби Дик,напролет,1,4887
495,Моби Дик,бродили,1,4887
496,Моби Дик,лабиринтам,1,4887
497,Моби Дик,подводных,1,4887
498,Моби Дик,пещер,1,4887
499,Моби Дик,спортивных,1,4887
500,Моби Дик,залов,1,4887
501,Моби Дик,доносились,2,4887
502,Моби Дик,выкрики,1,4887
503,Моби Дик,топот,1,4887
504,Моби Дик,буханье,1,4887
505,Моби Дик,мячей,1,4887
506,Моби Дик,клубах,1,4887
507,Моби Дик,витийствовали,1,4887
508,Моби Дик,дискуссионеры,1,4887
509,Моби Дик,утилитарных,1,4887
510,Моби Дик,целях,1,4887
511,Моби Дик,развития,1,4887
512,Моби Дик,сообразительности,1,4887
513,Моби Дик,логического,1,4887
514,Моби Дик,мышления,1,4887
515,Моби Дик,обсуждались,1,4887
516,Моби Дик,странные,2,4887
517,Моби Дик,вопросы,1,4887
518,Моби Дик,музыкальных,1,4887
519,Моби Дик,комнатах,1,4887
520,Моби Дик,неподвижиые,1,4887
521,Моби Дик,покойники,1,4887
522,Моби Дик,возлежали,1,4887
523,Моби Дик,глубоких,1,4887
524,Моби Дик,креслах,1,4887
525,Моби Дик,ценители,1,4887
526,Моби Дик,нежнейших,1,4887
527,Моби Дик,мелодий,1,4887
528,Моби Дик,чувствовали,1,4887
529,Моби Дик,себя,3,4887
530,Моби Дик,вместе,3,4887
531,Моби Дик,некоторое,1,4887
532,Моби Дик,исключение,1,4887
533,Моби Дик,составляли,1,4887
534,Моби Дик,художники,1,4887
535,Моби Дик,предпочитавшие,1,4887
536,Моби Дик,развлекаться,1,4887
537,Моби Дик,одиночку,1,4887
538,Моби Дик,чем-то,1,4887
539,Моби Дик,влекло,1,4887
540,Моби Дик,серо-свинцовое,1,4887
541,Моби Дик,однообразие,1,4887
542,Моби Дик,скал,1,4887
543,Моби Дик,ледяной,1,4887
544,Моби Дик,низкого,1,4887
545,Моби Дик,неба,1,4887
546,Моби Дик,большинство,1,4887
547,Моби Дик,них,4,4887
548,Моби Дик,прямого,1,4887
549,Моби Дик,отношения,2,4887
550,Моби Дик,имело,1,4887
551,Моби Дик,приезжали,1,4887
552,Моби Дик,зиму,1,4887
553,Моби Дик,материка,1,4887
554,Моби Дик,необычайно,1,4887
555,Моби Дик,трудолюбивы,1,4887
556,Моби Дик,гениальности,1,4887
557,Моби Дик,крайней,1,4887
558,Моби Дик,мере,1,4887
559,Моби Дик,мнению,1,4887
560,Моби Дик,обнаруживали,1,4887
561,Моби Дик,иногда,3,4887
562,Моби Дик,устраивали,1,4887
563,Моби Дик,коридорах,1,4887
564,Моби Дик,выставки,2,4887
565,Моби Дик,этюдов,1,4887
566,Моби Дик,сбегался,1,4887
567,Моби Дик,народ,3,4887
568,Моби Дик,начинались,1,4887
569,Моби Дик,свирепые,1,4887
570,Моби Дик,споры,2,4887
571,Моби Дик,должен,1,4887
572,Моби Дик,ли,3,4887
573,Моби Дик,художник,1,4887
574,Моби Дик,писать,1,4887
575,Моби Дик,видит,1,4887
576,Моби Дик,чувствует,1,4887
577,Моби Дик,думает,1,4887
578,Моби Дик,скульптор,1,4887
579,Моби Дик,опытнейший,1,4887
580,Моби Дик,работник,1,4887
581,Моби Дик,океанского,1,4887
582,Моби Дик,патруля,1,4887
583,Моби Дик,страдавший,1,4887
584,Моби Дик,однако,1,4887
585,Моби Дик,гигантоманией,1,4887
586,Моби Дик,мечтал,2,4887
587,Моби Дик,создать,1,4887
588,Моби Дик,грандиозную,1,4887
589,Моби Дик,статую,1,4887
590,Моби Дик,чего-то,2,4887
591,Моби Дик,такого,1,4887
592,Моби Дик,скалы,4,4887
593,Моби Дик,окрестностях,1,4887
594,Моби Дик,носили,1,4887
595,Моби Дик,неизгладимые,1,4887
596,Моби Дик,следы,1,4887
597,Моби Дик,вдохновения,1,4887
598,Моби Дик,от,16,4887
599,Моби Дик,времени,3,4887
600,Моби Дик,база,1,4887
601,Моби Дик,оглашалась,1,4887
602,Моби Дик,непривычным,1,4887
603,Моби Дик,оголтело-веселым,1,4887
604,Моби Дик,шумом,3,4887
605,Моби Дик,случалось,1,4887
606,Моби Дик,гости,1,4887
607,Моби Дик,приходили,4,4887
608,Моби Дик,юноши,1,4887
609,Моби Дик,девчонки,1,4887
610,Моби Дик,васильевского,1,4887
611,Моби Дик,рыбного,1,4887
612,Моби Дик,комбината,3,4887
613,Моби Дик,комбинате,1,4887
614,Моби Дик,работало,1,4887
615,Моби Дик,шестьдесят,1,4887
616,Моби Дик,человек,2,4887
617,Моби Дик,двадцать,4,4887
618,Моби Дик,операторов,1,4887
619,Моби Дик,тридцать,2,4887
620,Моби Дик,практикантов,1,4887
621,Моби Дик,кибернетистов-снабженцев,1,4887
622,Моби Дик,обязанности,1,4887
623,Моби Дик,которых,2,4887
624,Моби Дик,лежало,1,4887
625,Моби Дик,грузить,1,4887
626,Моби Дик,отправлять,1,4887
627,Моби Дик,владивосток,1,4887
628,Моби Дик,магадан,1,4887
629,Моби Дик,самоходные,1,4887
630,Моби Дик,кибернетические,1,4887
631,Моби Дик,баржи,1,4887
632,Моби Дик,готовой,1,4887
633,Моби Дик,продукцией,1,4887
634,Моби Дик,налаживать,1,4887
635,Моби Дик,управление,1,4887
636,Моби Дик,подводными,1,4887
637,Моби Дик,баржами,1,4887
638,Моби Дик,так,13,4887
639,Моби Дик,чтобы,4,4887
640,Моби Дик,без,2,4887
641,Моби Дик,промаха,1,4887
642,Моби Дик,назначенный,1,4887
643,Моби Дик,срок,1,4887
644,Моби Дик,нужный,1,4887
645,Моби Дик,порт,1,4887
646,Моби Дик,труднейшая,1,4887
647,Моби Дик,интереснейшая,1,4887
648,Моби Дик,задача,1,4887
649,Моби Дик,студенты-практиканты,1,4887
650,Моби Дик,склонны,1,4887
651,Моби Дик,отлынивать,1,4887
652,Моби Дик,переработки,1,4887
653,Моби Дик,сырья,1,4887
654,Моби Дик,примазывались,1,4887
655,Моби Дик,кибернетистам,1,4887
656,Моби Дик,молодой,2,4887
657,Моби Дик,завода,1,4887
658,Моби Дик,тесно,1,4887
659,Моби Дик,связаны,1,4887
660,Моби Дик,обычно,3,4887
661,Моби Дик,внепроизводственная,1,4887
662,Моби Дик,связь,1,4887
663,Моби Дик,осуществлялась,1,4887
664,Моби Дик,вечеринках,1,4887
665,Моби Дик,комбинатском,1,4887
666,Моби Дик,клубе,1,4887
667,Моби Дик,океанская,3,4887
668,Моби Дик,охрана,3,4887
669,Моби Дик,приглашала,1,4887
670,Моби Дик,гостей,1,4887
671,Моби Дик,себе,5,4887
672,Моби Дик,тогда,13,4887
673,Моби Дик,начиналось,1,4887
674,Моби Дик,столпотворение,1,4887
675,Моби Дик,явившись,1,4887
676,Моби Дик,базу,3,4887
677,Моби Дик,эта,3,4887
678,Моби Дик,толпа,1,4887
679,Моби Дик,сразу,6,4887
680,Моби Дик,рассыпалась,1,4887
681,Моби Дик,кучками,1,4887
682,Моби Дик,комнатам,1,4887
683,Моби Дик,хозяев,1,4887
684,Моби Дик,двери,1,4887
685,Моби Дик,пустой,1,4887
686,Моби Дик,коридор,3,4887
687,Моби Дик,распахнуты,1,4887
688,Моби Дик,наполнялось,1,4887
689,Моби Дик,споров,1,4887
690,Моби Дик,песнями,1,4887
691,Моби Дик,музыкой,1,4887
692,Моби Дик,шарканьем,1,4887
693,Моби Дик,танцующих,2,4887
694,Моби Дик,веселые,1,4887
695,Моби Дик,шатались,1,4887
696,Моби Дик,комнаты,4,4887
697,Моби Дик,комнату…,1,4887
698,Моби Дик,одним,1,4887
699,Моби Дик,словом,1,4887
700,Моби Дик,весьма,1,4887
701,Моби Дик,весело,4,4887
702,Моби Дик,великолепно,1,4887
703,Моби Дик,звукоизолированы,1,4887
704,Моби Дик,весь,3,4887
705,Моби Дик,этот,4,4887
706,Моби Дик,шум,1,4887
707,Моби Дик,гам,1,4887
708,Моби Дик,никому,1,4887
709,Моби Дик,взрослых,1,4887
710,Моби Дик,мешал,1,4887
711,Моби Дик,первое,2,4887
712,Моби Дик,запирался,1,4887
713,Моби Дик,праздничные,1,4887
714,Моби Дик,вечера,2,4887
715,Моби Дик,любопытство,1,4887
716,Моби Дик,зависть,1,4887
717,Моби Дик,победили,1,4887
718,Моби Дик,стал,3,4887
719,Моби Дик,оставлять,1,4887
720,Моби Дик,дверь,2,4887
721,Моби Дик,открытой,2,4887
722,Моби Дик,много,6,4887
723,Моби Дик,пришлось,1,4887
724,Моби Дик,услышать,1,4887
725,Моби Дик,новые,1,4887
726,Моби Дик,песни,2,4887
727,Моби Дик,всех,4,4887
728,Моби Дик,концов,1,4887
729,Моби Дик,света,1,4887
730,Моби Дик,яростные,1,4887
731,Моби Дик,специальным,1,4887
732,Моби Дик,общим,1,4887
733,Моби Дик,вопросам,1,4887
734,Моби Дик,локальные,1,4887
735,Моби Дик,сплетни,1,4887
736,Моби Дик,старших,2,4887
737,Моби Дик,том,2,4887
738,Моби Дик,числе,2,4887
739,Моби Дик,самом,3,4887
740,Моби Дик,объяснения,1,4887
741,Моби Дик,любви,1,4887
742,Моби Дик,мучительно,1,4887
743,Моби Дик,бессвязные,1,4887
744,Моби Дик,даже,2,4887
745,Моби Дик,звуки,2,4887
746,Моби Дик,поцелуев,1,4887
747,Моби Дик,дверью,1,4887
748,Моби Дик,находился,1,4887
749,Моби Дик,узенький,1,4887
750,Моби Дик,тупичок-ниша,1,4887
751,Моби Дик,которым,1,4887
752,Моби Дик,оканчивался,1,4887
753,Моби Дик,кто-то,2,4887
754,Моби Дик,соответственно,1,4887
755,Моби Дик,обставил,1,4887
756,Моби Дик,поставил,1,4887
757,Моби Дик,кресла,2,4887
758,Моби Дик,сосну,1,4887
759,Моби Дик,стеклянном,1,4887
760,Моби Дик,ящике,1,4887
761,Моби Дик,газосветную,1,4887
762,Моби Дик,лампу,2,4887
763,Моби Дик,тусклую,1,4887
764,Моби Дик,подмигивающую,1,4887
765,Моби Дик,ниша,1,4887
766,Моби Дик,называлась,1,4887
