,author,Word,n,nwords
660,Беляев,рабочий,2,98403
661,Беляев,резкая,1,98403
662,Беляев,тень,3,98403
663,Беляев,пала,2,98403
664,Беляев,седло,1,98403
665,Беляев,отчего,3,98403
666,Беляев,сделалось,3,98403
667,Беляев,более,64,98403
668,Беляев,смешным,1,98403
669,Беляев,должна,24,98403
670,Беляев,была,171,98403
671,Беляев,произойти,2,98403
672,Беляев,сцена,5,98403
673,Беляев,трагического,1,98403
674,Беляев,объяснения,3,98403
675,Беляев,неудачного,1,98403
676,Беляев,любовника,1,98403
677,Беляев,бедного,2,98403
678,Беляев,мейстерзингера,9,98403
679,Беляев,златокудрой,1,98403
680,Беляев,дочерью,4,98403
681,Беляев,короля,22,98403
682,Беляев,роль,14,98403
683,Беляев,королевы,1,98403
684,Беляев,исполняла,1,98403
685,Беляев,звезда,1,98403
686,Беляев,обычно,7,98403
687,Беляев,режиссировал,1,98403
688,Беляев,фильмы,1,98403
689,Беляев,которых,34,98403
690,Беляев,участвовал,1,98403
691,Беляев,раз,112,98403
692,Беляев,приезда,1,98403
693,Беляев,гедды,10,98403
694,Беляев,начал,130,98403
695,Беляев,проходить,1,98403
696,Беляев,статистами,2,98403
697,Беляев,некоторые,10,98403
698,Беляев,массовые,1,98403
699,Беляев,сцены,1,98403
700,Беляев,одна,21,98403
701,Беляев,молодая,6,98403
702,Беляев,неопытная,1,98403
703,Беляев,статистка,1,98403
704,Беляев,прошла,5,98403
705,Беляев,сцене,3,98403
706,Беляев,следовало,1,98403
707,Беляев,простонал,1,98403
708,Беляев,попросил,6,98403
709,Беляев,пройти,9,98403
710,Беляев,опять,61,98403
711,Беляев,замахал,3,98403
712,Беляев,руками,48,98403
713,Беляев,ветряная,2,98403
714,Беляев,мельница,2,98403
715,Беляев,закричал,20,98403
716,Беляев,тонким,6,98403
717,Беляев,детским,1,98403
718,Беляев,голоском,1,98403
719,Беляев,неужели,26,98403
720,Беляев,ходить,10,98403
721,Беляев,полу,17,98403
722,Беляев,вам,133,98403
723,Беляев,сейчас,38,98403
724,Беляев,покажу,10,98403
725,Беляев,делается,18,98403
726,Беляев,соскочив,1,98403
727,Беляев,помоста,1,98403
728,Беляев,показал,21,98403
729,Беляев,наглядно,1,98403
730,Беляев,верно,4,98403
731,Беляев,поняли,6,98403
732,Беляев,требуется,1,98403
733,Беляев,вместе,70,98403
734,Беляев,удержались,1,98403
735,Беляев,громко,8,98403
736,Беляев,засмеялись,1,98403
737,Беляев,сердиться,2,98403
738,Беляев,когда,217,98403
739,Беляев,начинал,8,98403
740,Беляев,смешон,4,98403
741,Беляев,статистов,3,98403
742,Беляев,сделался,8,98403
743,Беляев,гомерическим,1,98403
744,Беляев,бароны,1,98403
745,Беляев,рыцари,1,98403
746,Беляев,хватались,1,98403
747,Беляев,животы,2,98403
748,Беляев,катались,1,98403
749,Беляев,придворные,1,98403
750,Беляев,дамы,1,98403
751,Беляев,смеялись,3,98403
752,Беляев,слез,3,98403
753,Беляев,портили,1,98403
754,Беляев,грим,3,98403
755,Беляев,слетел,3,98403
756,Беляев,парик,1,98403
757,Беляев,смотрел,25,98403
758,Беляев,стихийное,1,98403
759,Беляев,бедствие,1,98403
760,Беляев,произведенное,1,98403
761,Беляев,необычайным,2,98403
762,Беляев,дарованием,1,98403
763,Беляев,потом,100,98403
764,Беляев,вдруг,153,98403
765,Беляев,топнул,2,98403
766,Беляев,ногой,7,98403
767,Беляев,схватился,4,98403
768,Беляев,голову,67,98403
769,Беляев,побежал,11,98403
770,Беляев,забился,2,98403
771,Беляев,кулисы,1,98403
772,Беляев,успокоившись,1,98403
773,Беляев,вернулся,20,98403
774,Беляев,побледневшим,1,98403
775,Беляев,буду,23,98403
776,Беляев,отдавать,2,98403
777,Беляев,приказания,2,98403
778,Беляев,репетиция,1,98403
779,Беляев,продолжалась,3,98403
780,Беляев,замечания,1,98403
781,Беляев,толковы,1,98403
782,Беляев,обличали,2,98403
783,Беляев,режиссерский,1,98403
784,Беляев,опыт,6,98403
785,Беляев,талант,7,98403
786,Беляев,приехала,2,98403
787,Беляев,возвестил,1,98403
788,Беляев,передал,4,98403
789,Беляев,бразды,1,98403
790,Беляев,правления,1,98403
791,Беляев,помощнику,1,98403
792,Беляев,отправился,25,98403
793,Беляев,одеваться,1,98403
794,Беляев,гримироваться,1,98403
795,Беляев,вышел,34,98403
796,Беляев,ателье,8,98403
797,Беляев,костюм,56,98403
798,Беляев,скрыть,3,98403
799,Беляев,уродства,3,98403
800,Беляев,трудом,21,98403
801,Беляев,удерживали,1,98403
802,Беляев,отводили,1,98403
803,Беляев,сторону,46,98403
804,Беляев,где,115,98403
805,Беляев,нетерпеливо,4,98403
806,Беляев,спросил,131,98403
807,Беляев,партнерша,1,98403
808,Беляев,заставила,4,98403
809,Беляев,себя,151,98403
810,Беляев,ждать,10,98403
811,Беляев,всякой,3,98403
812,Беляев,другой,31,98403
813,Беляев,артистки,1,98403
814,Беляев,прошло,13,98403
815,Беляев,даром,3,98403
816,Беляев,вольность,1,98403
817,Беляев,наконец,60,98403
818,Беляев,явилась,2,98403
819,Беляев,появление,3,98403
820,Беляев,произвело,4,98403
821,Беляев,всегда,32,98403
822,Беляев,эффект,4,98403
823,Беляев,красота,7,98403
824,Беляев,женщины,12,98403
825,Беляев,необычайна,1,98403
826,Беляев,тоже,31,98403
827,Беляев,названа,1,98403
828,Беляев,аккумулятором,6,98403
829,Беляев,иного,1,98403
830,Беляев,природа,4,98403
831,Беляев,накапливала,1,98403
832,Беляев,мелочам,1,98403
833,Беляев,сотни,13,98403
834,Беляев,лет,34,98403
835,Беляев,очаровывать,1,98403
836,Беляев,людей,53,98403
837,Беляев,копила,1,98403
838,Беляев,крохам,1,98403
839,Беляев,делала,4,98403
840,Беляев,отбор,1,98403
841,Беляев,прабабушек,1,98403
842,Беляев,прадедушек,1,98403
843,Беляев,собрать,5,98403
844,Беляев,воедино,1,98403
845,Беляев,весь,46,98403
846,Беляев,блистательный,1,98403
847,Беляев,арсенал,3,98403
848,Беляев,красоты,6,98403
849,Беляев,женского,1,98403
850,Беляев,очарования,1,98403
851,Беляев,нервно,2,98403
852,Беляев,туфлеобразный,4,98403
853,Беляев,начиная,2,98403
854,Беляев,кончая,2,98403
855,Беляев,последним,3,98403
856,Беляев,плотником,1,98403
857,Беляев,устремили,1,98403
858,Беляев,гедду,5,98403
